Station Name,Station Address,City,Zip,Phone,Hours,Charger Network,Latitutde,Longitude,Score,Businesses
Courtyard San Francisco,299 2nd St,San Francisco,94105,,24 hours daily,,37.785961,-122.396817,5,"Starbucks, Starbucks, Whispers Bar & Grill, The Fly Trap, Raw Satisfaction"
DCFC - SDSU Lot G,5500 Campanile Dr,San Diego,92182,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.772923,-117.069138,5,"House Of Khan, Domino's Pizza, Bangkok Poco the Restaurant, La Casitas Mexican Grill & Seafood, Bruxie"
LA HABRA MARKET,1331 W Imperial Hwy,La Habra,90631,,24 hours daily,ChargePoint Network,33.9177219,-117.9612607,5,"Starbucks, Applebee's, TOGO'S Sandwiches, Burger King, Panera Bread"
CITYOFSANRAFAEL,900-948 Cijos St,San Rafael,94901,,24 hours daily,ChargePoint Network,37.9719973,-122.5250093,5,"Napoli, Umi Sushi, Bangkok Thai Express, Mauna Loa Hawaiian BBQ, Sushi To Dai For"
HERMOSA BEACH,1315 Valley Dr,Hermosa Beach,90254,,24 hours daily,ChargePoint Network,33.8637293,-118.395789,5,"Barista Instructor, LiveStyle Marketplace & Gallery, Jesse Freidin Pet Photographer, KCM Media, Bonita Interiors"
IRVINE CO OFC,401 B St,San Diego,92102,,24 hours daily,ChargePoint Network,32.7175328,-117.1604016,5,"Roast Coach Coffee Bar, The Plaza Deli, Ogawashi, Starbucks, Los Amigos Mexican Cafe"
City of Hayward - 805 B St,805 B Street,Hayward,94541,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,37.674018,-122.0838309,5,"Buon Appetito Restaurant, Sapporo Restaurant, Wienerschnitzel, Domino's Pizza, Snappy's Cafe"
CREEKSIDE INN,3400 California 82,Palo Alto,94306,,24 hours daily,ChargePoint Network,37.4195657,-122.1355191,5,"Cibo Restaurant & Bar, Corner Bakery Cafe, Driftwood Deli and Market, Mandarin Roots, Hunan Garden"
MERLONE GEIER,2580 W El Camino Real,Mountain View,94040,,24 hours daily,ChargePoint Network,37.401584,-122.112278,5,"Sajj Mediterranean, The Counter, Starbucks, Starbucks, Pizza Studio"
Mark Hopkins InterContinental Hotel,99 California St,San Francisco,94108,,24 hours daily; pay lot; guest use only,,37.791405,-122.410248,5,"Ristorante Giordano, Nob Hill Restaurant, Nob Hill Club, Rue Lepic, Top of the Mark"
HUNTINGTONBEACH,1128 Pacific Coast Hwy,Huntington Beach,92648,,24 hours daily,ChargePoint Network,33.6573906,-118.0029755,5,"Johnny Rockets, Ruby's Diner, Zack's HB, Zimzala, a Joie de Vivre Restaurant, Simply Layered"
MARTINEZ CA,680 Court St,Martinez,94553,,24 hours daily,ChargePoint Network,38.0184746,-122.1345444,5,"Cafe Katie, McDonald's, Martinez Museum, Little Hunan, mARTinez Gallery"
ROMEL 400 SECR,"4 W 4th Avenue, Suite 401",San Mateo,94402,,24 hours daily,ChargePoint Network,37.5622132,-122.3254442,5,"Cafe 400, Speedy Panini Italian Food Truck, Noa's Art, Devliish Bites, Fuel Cafe"
SAN RAFAEL,1815 4th St,San Rafael,94901,,24 hours daily,ChargePoint Network,37.9738731,-122.5394669,5,"International House of Pancakes, Lee Coffee Shop, Jack In The Box, Moonlight Yogurt & Deli, IHOP"
Bristol Farms,606 Fair Oaks Ave,South Pasadena,91030,,24 hours daily,,34.1183488,-118.1500456,5,"Bella's Gourmet Pizza, Modan Artisanal Ramen, The Coffee Bean & Tea Leaf, Mamma's Brick Oven Pizza & Pasta, Maki Yaki"
PALO ALTO CA,Bryant St,Palo Alto,94301,,24 hours daily,ChargePoint Network,37.4465103,-122.1621399,4,"La Comida, Oren's Hummus Shop, Kanpai Sushi, Local Union 271"
BEVERLY HILLS,9510 Brighton Way,Beverly Hills,90210,,24 hours daily,ChargePoint Network,34.0688965,-118.4032241,4,"Nespa Cafe, DOMA, Mr Chow, Teuscher Chocolates & Cafe"
MOLLIE STONES,164 S California Ave,Palo Alto,94306,,24 hours daily,ChargePoint Network,37.4287102,-122.1431565,4,"Palo Alto Pizza Co, Cho's Restaurant, Peking Duck Restaurant, Baume"
1600 VINE,1600 Vine St,Los Angeles,90028,,24 hours daily,ChargePoint Network,34.1000943,-118.3264326,4,"Sugar Mama's Gourmet Cupcakes, Metro Dogs, The Original Coney Island, Solo Tapas"
"Fox Studio Operations- Pico West Parking - Level B2 - Space 437, 435",10201 Pico Blvd,Los Angeles,90035,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.049833,-118.412734,4,"Twentieth Century-Fox Film Corporation, Twentieth Century-Fox Film Corporation, Twentieth Century-Fox Film Corporation, Twentieth Century-Fox Film Corporation"
SDIA,Winship Ln,San Diego,92101,,24 hours daily,ChargePoint Network,32.729528,-117.1912297,4,"Seaside Stack Shack, Qdoba Mexican Grill, Urban Crave, Emerald Express"
Moscone Center,255 3rd St,San Francisco,94103,,24 hours daily; pay lot,,37.7843613,-122.3996365,4,"Shiki, Starbucks, Chevys Fresh Mex, San Francisco Travel"
350GREEN,27785 Santa Margarita Pkwy,Mission Viejo,92691,,24 hours daily,ChargePoint Network,33.6531868,-117.6464005,4,"East Coast Bagel Company, Starbucks, McDonald's, Starbucks"
Long Beach - Airport,4100 Donald Douglas Drive,Long Beach,90808,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.818333,-118.144669,4,"George's Greek Cafe, 4th Street Vine Wine & Beer Bar LGB Airport, Legends of Aviation Restaurant, LGB South Coffee Kiosk"
SLS Hotel - Beverly Hills,465 S La Cienega Blvd,Los Angeles,90048,,24 hours daily,,34.0700473,-118.3767587,4,"SAAM, The Bazaar by Jos Andrs, La Cienega Kabob House, Tres By Jos Andrs"
TARGET CORP,401 Kenilworth Dr,Petaluma,94952,,24 hours daily,ChargePoint Network,38.2455157,-122.6269734,4,"Buffalo Wild Wings, Five Guys Burger and Fries, Five Guys Burgers and Fries, Red Boy Pizza"
Nut Tree Village,1651 E Monte Vista Ave,Vacaville,95688,,24 hours daily,,38.3687086,-121.9612667,4,"Rubio's Fresh Mexican Grill, Five Guys Burgers and Fries, Starbucks, Peet's Coffee & Tea"
Salinas,200 Lincoln Ave,Salinas,93901,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,36.675341,-121.657324,4,"Happy Burrito, Subway Sandwiches, Courthouse Cafe, Kokoro Sushi"
SACRAMENTO,801 14th St,Sacramento,95814,,24 hours daily,ChargePoint Network,38.5807078,-121.4866931,4,"Big Bowl Noodles, Starbucks, Oshima Sushi Tap House, Bulls Restaurant & Bar"
CITYOF CAMPBELL,45 N 1st Street,Campbell,95008,,24 hours daily,ChargePoint Network,37.2877338,-121.9452248,4,"Starbucks, El Guapo's, Starbucks, Sushi Confidential"
CITY OF SB EV2,1221 Anacapa St,Santa Barbara,93101,,24 hours daily,ChargePoint Network,34.4245458,-119.7041544,4,"Coffee Cat, Sama Sama Kitchen, Trattoria Vittoria, Arts & Letters Cafe"
CARL'S JR.,6601 Lankershim Blvd,Los Angeles,91606,,24 hours daily,ChargePoint Network,34.1906008,-118.3880926,4,"Carl's Jr, Jack In The Box, 7-Eleven, Jack in the Box"
WATT PLAZA,1875 Century Park E,Los Angeles,90067,,24 hours daily,ChargePoint Network,34.0609111,-118.4147379,4,"Starbucks, Trimana, Taco Limon, Trimana"
Liberty Station Lot N-2,2748 Historic Decatur Rd,San Diego,92101,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.738859,-117.2121279,4,"Women's Museum of California, Point Loma Tea, Ballast Point Gallery, Con Pane Rustic Breads & Cafe"
ZYNGA,650 Townsend St,San Francisco,94103,,24 hours daily,ChargePoint Network,37.7710325,-122.4033069,4,"Holy Grill, Saffron 685, Starbucks, Grand Pu Bah"
Fox Cable Network- Bldg. 103,10201 Pico Blvd,Los Angeles,90064,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.049833,-118.412734,4,"Twentieth Century-Fox Film Corporation, Twentieth Century-Fox Film Corporation, Twentieth Century-Fox Film Corporation, Twentieth Century-Fox Film Corporation"
Electric Lodge,1416 Electric Ave,Venice,90291,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.991185,-118.465027,4,"The G2 Gallery, Abbot's Pizza Co, Gjelina Take Away, Gjelina"
350GREEN,2201 Arden Way,Sacramento,95825,,24 hours daily,ChargePoint Network,38.596568,-121.414622,4,"Del Taco, Taqueria 3 Hermanos Cocina Mexicana, K G Indian Food, KG Indian Food"
Loews Santa Monica Beach Hotel,1700 Ocean Ave,Santa Monica,90401,,24 hours daily; pay lot,,34.00907,-118.4928,4,"Cezanne, JW Marriott Santa Monica Le Merigot, Ocean and Vine, Starbucks"
IRVINE CO OFC,2121 Avenue of the Stars,Los Angeles,90067,,24 hours daily,ChargePoint Network,34.0552232,-118.4132642,4,"Mickey Fine at Fox Plaza, Fox Studio Commissary, City Bean, Specialtys Cafe & Bakery"
Mira Mesa West (Target) Center - AT&T Building,8251 Mira Mesa Blvd,San Diego,92126,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.910036,-117.144921,4,"Domino's Pizza, Annapurna, Luong Hai Ky Chinese Noodle Restaurant, Gemmae Bake Shop"
BUCKLIN PARK,73484 Twentynine Palms Hwy,Twentynine Palms,92277,,24 hours daily,ChargePoint Network,34.136029,-116.0591211,4,"Gino's Cafe, Mural Gallery, Quiznos, Edchada's"
"Fox Studio Operations- Pico West Parking - Level B2 - Space 441,439",10201 Pico Blvd,Los Angeles,90035,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.049833,-118.412734,4,"Twentieth Century-Fox Film Corporation, Twentieth Century-Fox Film Corporation, Twentieth Century-Fox Film Corporation, Twentieth Century-Fox Film Corporation"
BEVERLY HILLS,461 N Bedford Dr,Beverly Hills,90210,,24 hours daily,ChargePoint Network,34.0688237,-118.4062365,4,"Crustacean, Judi's Deli, Le Pain Quotidien, Sayuri"
City of West Hollywood - Kings Road Parking,8383 Santa Monica Blvd,West Hollywood,90069,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.090746,-118.372454,4,"Burrito Box, MACHA Theatre/Film, Bambou Le Pho, WeHo SuperMart"
BEVERLY HILLS,345 N Beverly Dr,Beverly Hills,90210,,24 hours daily,ChargePoint Network,34.069175,-118.40168,4,"Mouche Gallery, Lik Waikiki - Peter Lik Fine Art Photography, The Cheesecake Factory, On Rodeo Bistro & Lounge"
SDSU Lot G,5500 Campanile Dr,San Diego,92182,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.773038,-117.069041,4,"Bangkok Poco the Restaurant, Bruxie, House Of Khan, Domino's Pizza"
Commonwealth Partners Garage,560 Mission St,San Francisco,94105,,24 hours daily,,37.7886963,-122.399372,4,"Peet's Coffee & Tea, Roy's Restaurant, Mixt Greens, Espresso Subito"
Legacy Partners,100 Oceangate,Long Beach,90802,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.766646,-118.1987318,4,"City Grill, Debbie's Cafe, Jersey Mike's Subs, Mirage"
Nissan of San Francisco,1395 Van Ness Ave,San Francisco,94109,,Dealership business hours,,37.78845,-122.422,4,"Peet's Coffee & Tea, Wayo Sushi, Starbucks, Starbucks"
Cherokee-Whitley Garage,1718 N Cherokee Ave,Los Angeles,90028,,24 hours daily; pay lot,,34.1022448,-118.3347468,4,"Rincon Oaxaqueno, Loteria Grill, Hart's Cafe, The Pit"
Helms Bakery Building,8800 Venice Blvd,Los Angeles,90034,,24 hours daily,,34.0306792,-118.3851538,4,"Helms Bakery Cafe Truck, Lukshon, Father's Office, FrameStore"
Vacaville Premium Outlets - Tesla,321 Nut Tree Rd,Vacaville,95687,,24 hours daily; for Tesla use only,,38.3661075,-121.9553334,4,"Taco Bell, Pot Belly Deli, Subway Sandwiches, Starbucks"
CARCHARGING,55 Hawthorne St,San Francisco,94105,,24 hours daily,ChargePoint Network,37.7855225,-122.3987503,4,"Benu, Crown Point Press, Roe Restaurant, 871 Fine Arts Book Store"
CCSF-SFMTA,735 Vallejo St,San Francisco,94133,,24 hours daily,ChargePoint Network,37.798284,-122.4096166,4,"Lai Hong Lounge, Firenze by Night Ristorante, Little Garden, Pho Vung Tau"
"Carl's Jr - 1751 S. Soto St., Los Angeles",1751 S. Soto Street,Los Angeles,90023,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.017707,-118.220129,4,"Carl's Jr., Mike's Sandwich Shop, Momo Korean BBQ, El Borrego De Oro"
350GREEN,3001 Taraval St,San Francisco,94116,,24 hours daily,ChargePoint Network,37.7415962,-122.4984283,4,"Win's Restaurant, Vanida Thai Kitchen, North Beach Pizza, Sweet Passion Bakery"
McDonald's #12306 - Crow Canyon - Danville CA,10000 Crow Canyon,Danville,94506,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,37.798915,-121.922891,4,"Similan Thai Cuisine, McDonald's, Ascona Pizza Company, Garlex Pizza - Blackhawk"
PIER SOUTH RESO,800 Seacoast Dr,Imperial Beach,91932,,24 hours daily,ChargePoint Network,32.5813841,-117.1318429,4,"The Wave Caf, Seacoast Giant Pizza, SEA180 Coastal Tavern, Seaside Gyros"
Harrah's Rincon Casino & Resort,777 Harrah's Rincon Way,Valley Center,92082,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.21837,-117.034197,4,"The Cafe, The Caf, Starbucks, Club Cappuccino"
NAPA RIVER INN,500 Main St,Napa,94559,,24 hours daily,ChargePoint Network,38.2964167,-122.2826984,4,"Morimoto Napa, Angele, Napa General Store, Celadon"
SACRAMENTO,414 J St,Sacramento,95814,,24 hours daily,ChargePoint Network,38.5823122,-121.5009228,4,"Cilantro's Mexican Restaurant, Lotus Thai Cuisine, Sacramento Chinatown Mall, Subway"
City of Sacramento - City Hall Public Parking Garage,10th St & I St,Sacramento,95814,,24 hours daily; pay lot,,38.58098,-121.493,4,"Second Saturday Art Walk, Nam Phuong Vietnamese Restaurant, Second Saturday Art Walk, Nam Phuong Vietnamese Restaurant"
Santa Monica Mountains National Recreation Area,401 W Hillcrest Dr,Thousand Oaks,91360,,24 hours daily,,34.1857621,-118.8860063,4,"The Cheesecake Factory, Panda Express, Hot Dog on a Stick, Tacone Flavor Grill"
CITY PARK,815 Powell St,San Francisco,94108,,24 hours daily,ChargePoint Network,37.792368,-122.4094514,4,"Tonga Room & Hurricane Bar, Melting Pot, Aurea, Caffe Cento"
Center Street Garage,2025 Center St,Berkeley,94704,,Garage business hours; pay lot,,37.87012863,-122.2702103,4,"Tsunami Dogs, Gecko Gecko, K's Internet Cafe, Nuha's Cafe"
Davis Amtrak Station,840 2nd St,Davis,95616,,24 hours daily,,38.5443,-121.738,4,"Gunrock Pub, Tres Hermanas, Subway, The Pepper Peddler"
McDonald's #23782 - Deer Valley Rd - Antioch CA,3450 Deer Valley Road,Antioch,94509,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,37.988973,-121.785846,4,"Mei Mei, Dad's Cafe, Applewood BBQ, McDonald's"
CITY OF SONOMA,148 E Napa St,Sonoma,95476,,24 hours daily,ChargePoint Network,38.291687,-122.4555664,4,"Arts Guild of Sonoma, Della Santina's Trattoria, Cafe La Haye, Basque Boulangerie Cafe"
Rabobank - Tesla,6950 El Camino Real,Atascadero,93422,,24 hours daily; for Tesla use only,,35.4865155,-120.6654672,4,"Galaxy Theatres, Que Pasa Mexican Cafe & Tequila Bar, Round Table Pizza, Round Table Pizza"
PALM DESERT,73-179 Hwy 111,Palm Desert,92260,,24 hours daily,ChargePoint Network,33.7203484,-116.3816008,4,"Burger King, Belle's Southern Dining, Jensen's Finest Foods, Tommy Bahamas Emporium"
CITYOFSANRAFAEL,900 C St,San Rafael,94901,,24 hours daily,ChargePoint Network,37.9726799,-122.5303058,4,"Uncle Wing, Open Secret Book Music and World Art Gallery, Radiance Cuisine, Ginolina Restaurant"
"Fox Studio Operations- Pico West Parking - Level B1 - Space 535, 533",10201 Pico Blvd,Los Angeles,90035,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.049833,-118.412734,4,"Twentieth Century-Fox Film Corporation, Twentieth Century-Fox Film Corporation, Twentieth Century-Fox Film Corporation, Twentieth Century-Fox Film Corporation"
TERRANEA1,100 Terranea Way,Rancho Palos Verdes,90275,,24 hours daily,ChargePoint Network,33.7414741,-118.3959923,4,"Catalina Kitchen, Nelson's, The Lobby Bar & Lounge, Sea Beans"
MARTINEZ CA,407 Estudillo St,Martinez,94553,,24 hours daily,ChargePoint Network,38.0191956,-122.1376266,4,"Hot Dog Depot-Bakery, Hot Dog Depot & Bakery, Royal Thai Restaurant, Asian Paradise Cafe"
CTY OF BERKELEY,2025 Center St,Berkeley,94704,,24 hours daily,ChargePoint Network,37.8701286,-122.2702103,4,"Tsunami Dogs, Nuha's Cafe, K's Internet Cafe, Gecko Gecko"
First Bank of San Luis Obispo,995 Higuera St,San Luis Obispo,93401,,24 hours daily,,35.280697,-120.660696,4,"Woodstock's Pizza, Thai Classic, Firestone Grill, Granada Hotel & Bistro"
NISSAN SAN FRAN,1395 Van Ness Ave,San Francisco,94109,,24 hours daily,ChargePoint Network,37.788229,-122.4223086,4,"Wayo Sushi, Starbucks, Starbucks, Wok Shop Cafe"
MONTECITO MRKT,315 3rd St,San Rafael,94901,,24 hours daily,ChargePoint Network,37.969521,-122.516106,4,"Kamikaze Sushi Bar, Tommy's Asian Bistro and Grill, Best Burgers, Chipotle Mexican Grill"
WHOLE FOODS MKT,1150 Ocean Ave,San Francisco,94112,,24 hours daily,ChargePoint Network,37.7238308,-122.4547812,3,"21 Taste House, Tea Me, Pizza Joint and Grill"
City of Palm Springs - Camelot Theatre,2300 E Baristo Rd,Palm Springs,92262,,24 hours daily,,33.81996,-116.5212451,3,"Desert Film Society @ Camelot Theatres, Camelot Cafe & Cinebar, Camelot Theatres"
CITY OF SOLVANG,1556 Mission Dr,Solvang,93463,,24 hours daily,ChargePoint Network,34.5957527,-120.1434555,3,"Paula's Pancake House, Succulent Cafe Wine Charcuterie, Solvang Brewing Company"
Macy's #71-555 - Otay Ranch Town Center - Chula Vista CA,2015 Birch Road,Chula Vista,91915,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.62181,-116.9658995,3,"Nestle Toll House Cookies Shop, P F Chang's China Bistro, Jersey Mike's Subs"
350GREEN,128 S STATE COLLEGE BLVD,Anaheim,92806,,24 hours daily,ChargePoint Network,33.8405418,-117.8883133,3,"Jack In The Box, Pizza Hut, First China Kitchen"
CAPITOLA CENTER,809 Bay Ave,Capitola,95010,,24 hours daily,ChargePoint Network,36.9812813,-121.9564438,3,"Michael's Pizza, Village Host Pizza & Grill, Peet's Coffee & Tea"
Soquel & Front Garage,601 Front St,Santa Cruz,95061,,24 hours daily,,36.9732361,-122.0245482,3,"Oswald Restaurant, Malabar, Asian Rose Cafe"
CITY CARSHARE,2401-2467 Sutter St,San Francisco,94115,,24 hours daily,ChargePoint Network,37.7849464,-122.4404449,3,"Bona Vita Cafe, Pete's Deli & Cafe, My Father's Kitchen"
PLEASANTONEVSTN,603 Main St,Pleasanton,94566,,24 hours daily,ChargePoint Network,37.6617928,-121.8758926,3,"Blue Agave Club, Museum On Main Street, Strizzi's Restaurant"
CIRCLE K,1716 Webster St,Alameda,94501,,24 hours daily,ChargePoint Network,37.7768924,-122.2762824,3,"Subway, Wienerschnitzel, East Ocean Seafood Restaurant"
CARCHARGING,1 Old Bayshore Hwy,Millbrae,94030,,24 hours daily,ChargePoint Network,37.6041374,-122.3759613,3,"Grill & Vine, Starbucks, Alfiere Mediterranean Bistro"
Sherman Oaks Fashion Square,14006 Riverside Dr,Sherman Oaks,91423,,24 hours daily,,34.156143,-118.432204,3,"Starbucks, Barney's Gourmet Hamburgers, Subway Sandwiches"
DELOITTE,225 W Santa Clara St,San Jose,95113,,24 hours daily,ChargePoint Network,37.335081,-121.8946745,3,"La Pastaia, Los Cubanos Restaurant, The Old Spaghetti Factory"
CITY PARK,801-841 Powell St,San Francisco,94108,,24 hours daily,ChargePoint Network,37.7921764,-122.409215,3,"Caffe Cento, Melting Pot, Aurea"
CSU FULLERTON,800 N. State College Blvd.,Fullerton,92831,,24 hours daily,ChargePoint Network,33.8779137,-117.8900752,3,"Baja Fresh Mexican Grill, Carl's Jr., Brief Stop"
CREA SPEAR ST,201 Spear St,San Francisco,94105,,24 hours daily,ChargePoint Network,37.7912413,-122.3918424,3,"Starbucks, Cocina y Cantina, The Toaster Oven"
UCSF CAMPUS,2420 Sutter St,San Francisco,94115,,24 hours daily,ChargePoint Network,37.785443,-122.44059,3,"Bona Vita Cafe, My Father's Kitchen, Pete's Deli & Cafe"
MARINA MAR CHG,524 W Washington Blvd,Marina Del Rey,90291,,24 hours daily,ChargePoint Network,33.9824113,-118.4599971,3,"Frankie & Johnnie's Ny Pizza, Stones Restaurant, Subway"
Carl's Jr - 9002 Firestone,9002 Firestone,Downey,90241,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.93519,-118.12389,3,"Starbucks, La Michoacana, Carl's Jr."
CITY HALL LOT,227 N Harvard Ave,Claremont,91711,,24 hours daily,ChargePoint Network,34.096114,-117.7166765,3,"Bardot, Saca's Mediterranean Cuisine, Bardot"
Whole Foods #13 - University Ave - San Diego CA,711 University Ave,San Diego,92103,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.747959,-117.158052,3,"7th Ave Pub, Chipotle Mexican Grill, India Palace"
350GREEN,946 S Brookhurst St,Anaheim,92804,,24 hours daily,ChargePoint Network,33.8186226,-117.958725,3,"Subway, Panda House, El Mahroosa Cafe & Restaurant"
CITY CARSHARE,148 Townsend St,San Francisco,94107,,24 hours daily,ChargePoint Network,37.7798064,-122.39208,3,"Saison, The Bagel Bakery, Subway"
ECOLOGY ACTION,877 Cedar Street,Santa Cruz,95060,,24 hours daily,ChargePoint Network,36.973945,-122.0277,3,"Sentinel Cafe, Erik's DeliCafe, Gabriella Cafe"
Bloomingdales - Fashion Valley - San Diego CA,7017 Friars Road,San Diego,92108,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.769361,-117.164917,3,"True Food Kitchen, Nespresso Boutique at Bloomingdale's, The Cheesecake Factory"
Los Angeles County Museum of Art,5905 Wilshire Blvd,Los Angeles,90036,,Garage business hours; pay lot,,34.0628398,-118.3577319,3,"David Hockney Exhibit at LACMA, Los Angeles County Museum of Art, Yalla Truck"
Rabobank - Salinas,1285 N Davis Rd,Salinas,93907,,24 hours daily,,36.70104,-121.6673,3,"China Chef, Bagel Cafe & Bakery, El Pollo Loco"
Calstart - Calstart Employees and Authorized Guests Only,48 S. Chester Avenue,Pasadena,91106,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.145175,-118.124703,3,"Motordogs Classic Hot Dog Stand, Daisy Mint, Andy's Coffee Shop"
Lodi Downtown Parking Structure,50 N Sacramento St,Lodi,95240,,24 hours daily,,38.134707,-121.271813,3,"Sinaloa Cafe, World of Wonders Science Museum, McKinleys Frame Shop"
FASHION ISLAND,1101 Newport Center Dr,Newport Beach,92660,,24 hours daily,ChargePoint Network,33.6153956,-117.8765964,3,"Lemonade, Great Maple, P F Chang's China Bistro"
United Markets San Rafael,515 Third St.,San Rafael,94901,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,37.970785,-122.519601,3,"KFC, Taco Bell, United Markets"
THOMAS SAFRAN,21608-21698 S Avalon Blvd,Carson,90745,,24 hours daily,ChargePoint Network,33.8305204,-118.263296,3,"IHOP, International House of Pancakes, TOGO'S Sandwiches"
Kaiser Permanente - Fontana,9961 Sierra Ave.,Fontana,92335,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.0733789,-117.435621,3,"Del Taco, Miss Donuts & Bagel, Pie 12 Pizzeria"
FALLON GATEWAY,3660 Fallon Rd,Dublin,94568,,24 hours daily,ChargePoint Network,37.7033402,-121.8512853,3,"BJ's Restaurant & Brewhouse, BJ's Restaurant & Brewhouse, Jersey Mike's Subs"
City of Santa Cruz,809 Center St,Santa Cruz,95060,,24 hours daily,,36.9739682,-122.0302233,3,"Barefoot Apothecary, Happy Dog Hotdogs, Tannery Arts Center"
Long Beach - Public Works Parking Lot,51 Shoreline Drive,Long Beach,90802,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.762884,-118.193257,3,"P F Chang's China Bistro, Tokyo Wako, Famous Dave's"
City of Temecula - 6th Street Lot,28462 Front St,Temecula,92590,,24 hours daily,,33.49605,-117.152,3,"Starbucks, Soro's Mediterranean, EAT Marketplace"
Rabobank - Atascadero,6950 El Camino Real,Atascadero,93422,,24 hours daily,,35.4863954,-120.6655842,3,"Round Table Pizza, Galaxy Theatres, Round Table Pizza"
City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,91103,,Garage business hours; pay lot,,34.147196,-118.147294,3,"King Taco, Home Brewed Bar, Eden Garden Bar & Grill"
101 LYTTON,101 Lytton Ave,Palo Alto,94301,,24 hours daily,ChargePoint Network,37.444642,-122.16535,3,"Darbar Indian Cuisine, Jasons Cafe, Bongpiyang Korean BBQ"
CITYOFRIVERSIDE,3900 Main St.,Riverside,92501,,24 hours daily,ChargePoint Network,33.9805633,-117.3756557,3,"Raincross Caf, Pacific Cabin Sushi Restaurant, Bajio Mexican Grill"
